Item No.,Description,Drawing/Ref. No.,Manufacturers Real Part No.,Material,MESC No.,Classification of parts,Commissioning spares,Operational spare parts,Quantity to be supplied,Unit,Remarks
1,Impeller,SJEC-DGNRCU-ENMA-DWEQ-0011,21-230-146.01,C95800,,,1,,1,Pcs,
2,Shaft,SJEC-DGNRCU-ENMA-DWEQ-0011,21-210-002.01,A576 Gr 1045,,,1,,1,Pcs,
4,Shaft Sleeve,SJEC-DGNRCU-ENMA-DWEQ-0011,21-220-234.04,A276 Type 420,,,1,,1,Pcs,
6,Shaft Sleeve,-,21-220-227.01,A276 Type 420,,,,1,1,Pcs,
10,Angular contact ball bearings-double row,SJEC-DGNRCU-ENMA-DWEQ-0011,22-322-312.01,STD,,,1,,1,Pcs,
12,Cylindrical roller bearing,SJEC-DGNRCU-ENMA-DWEQ-0011,22-323-314.01,STD,,,1,,1,Pcs,
14,Impeller Wearings,SJEC-DGNRCU-ENMA-DWEQ-0011,21-502-387.02,ASTM A48 Class 25B,,,1,,1,Pcs,
16,Casing Wearings,SJEC-DGNRCU-ENMA-DWEQ-0011,21-502-421.01,C95800,,,1,,1,Pcs,
18,Paper Gasket,SJEC-DGNRCU-ENMA-DWEQ-0011,22-400-610.01,Fiber,,,2,,2,Pcs,
20,Mechanical Seal Component,-,22-433-072.01,STD,,,2,,2,Pcs,
22,Mechanical Seal Assembly,-,21-433-767.03,Multi Material,,,1,,1,Pcs,
24,"Bearings of Motors,D side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-312.00,STD,,,1,,1,Pcs,
26,"Bearings of Motors,N side",SJEC-DGNRCU-ENMA-DSEQ-0002,22-320-313.00,STD,,,1,,1,Pcs,
28,Oil Seal Ring for Motors,-,-,-,,,1,,1,Pcs,
