"Row","ReportNo","Error"
"1","SJSC-GGNRSP-MOCD-REWK-0034-G00","Field MainGroup not present in list."
"2","SJSC-GGNRSP-MOCD-REWK-0034-G00","Field MainGroup not present in list."
"3","SJSC-GGNRSP-MOCD-REWK-0035-G00","Field MainGroup not present in list."
"4","SJSC-GGNRSP-MOCD-REWK-0035-G00","Field MainGroup not present in list."
"5","SJSC-GGNRSP-MOCD-REWK-0036-G00","Field MainGroup not present in list."
"6","SJSC-GGNRSP-MOCD-REWK-0036-G00","Field MainGroup not present in list."
"7","SJSC-GGNRSP-MOCD-REWK-0037-G00","Field MainGroup not present in list."
"8","SJSC-GGNRSP-MOCD-REWK-0037-G00","Field MainGroup not present in list."
"9","SJSC-GGNRSP-MOCD-REWK-0039-G00","Field MainGroup not present in list."
"10","SJSC-GGNRSP-MOCD-REWK-0039-G00","Field MainGroup not present in list."
"11","SJSC-GGNRSP-MOCD-REWK-0040-G00","Field MainGroup not present in list."
"12","SJSC-GGNRSP-MOCD-REWK-0040-G00","Field MainGroup not present in list."
"13","SJSC-GGNRSP-MOCD-REWK-0041-G00","Field MainGroup not present in list."
"14","SJSC-GGNRSP-MOCD-REWK-0041-G00","Field MainGroup not present in list."
"15","SJSC-GGNRSP-MOCD-REWK-0042-G00","Field MainGroup not present in list."
"16","SJSC-GGNRSP-MOCD-REWK-0042-G00","Field MainGroup not present in list."
"17","SJSC-GGNRSP-MOCD-REWK-0043-G00","Field MainGroup not present in list."
"18","SJSC-GGNRSP-MOCD-REWK-0044-G00","Field MainGroup not present in list."
"19","SJSC-GGNRSP-MOCD-REWK-0044-G00","Field MainGroup not present in list."
"20","SJSC-GGNRSP-MOCD-REWK-0045-G00","Field MainGroup not present in list."
"21","SJSC-GGNRSP-MOCD-REWK-0045-G00","Field MainGroup not present in list."
"22","SJSC-GGNRSP-MOCD-REWK-0046-G00","Field MainGroup not present in list."
"23","SJSC-GGNRSP-MOCD-REWK-0046-G00","Field MainGroup not present in list."
"24","SJSC-GGNRSP-MOCD-REWK-0047-G00","Field MainGroup not present in list."
"25","SJSC-GGNRSP-MOCD-REWK-0047-G00","Field MainGroup not present in list."
"26","SJSC-GGNRSP-MOCD-REWK-0048-G00","Field MainGroup not present in list."
"27","SJSC-GGNRSP-MOCD-REWK-0048-G00","Field MainGroup not present in list."
"28","SJSC-GGNRSP-MOCD-REWK-0050-G00","Field MainGroup not present in list."
"29","SJSC-GGNRSP-MOCD-REWK-0050-G00","Field MainGroup not present in list."
"30","SJSC-GGNRSP-MOCD-REWK-0051-G00","Field MainGroup not present in list."
"31","SJSC-GGNRSP-MOCD-REWK-0051-G00","Field MainGroup not present in list."
"32","SJSC-GGNRSP-MOCD-REWK-0052-G00","Field MainGroup not present in list."
"33","SJSC-GGNRSP-MOCD-REWK-0052-G00","Field MainGroup not present in list."
"34","SJSC-GGNRSP-MOCD-REWK-0053-G00","Field MainGroup not present in list."
"35","SJSC-GGNRSP-MOCD-REWK-0053-G00","Field MainGroup not present in list."
"36","SJSC-GGNRSP-MOCD-REWK-0054-G00","Field MainGroup not present in list."
"37","SJSC-GGNRSP-MOCD-REWK-0054-G00","Field MainGroup not present in list."
"38","SJSC-GGNRSP-MOCD-REWK-0055-G00","Field MainGroup not present in list."
"39","SJSC-GGNRSP-MOCD-REWK-0055-G00","Field MainGroup not present in list."
"40","SJSC-GGNRSP-MOCD-REWK-0056-G01","Field MainGroup not present in list."
"41","SJSC-GGNRSP-MOCD-REWK-0056-G01","Field MainGroup not present in list."
"42","SJSC-GGNRSP-MOCD-REWK-0057-G00","Field MainGroup not present in list."
"43","SJSC-GGNRSP-MOCD-REWK-0057-G00","Field MainGroup not present in list."
"44","SJSC-GGNRSP-MOCD-REWK-0058-G00","Field MainGroup not present in list."
"45","SJSC-GGNRSP-MOCD-REWK-0058-G00","Field MainGroup not present in list."
"46","SJSC-GGNRSP-MOCD-REWK-0059-G00","Field MainGroup not present in list."
"47","SJSC-GGNRSP-MOCD-REWK-0059-G00","Field MainGroup not present in list."
"48","SJSC-GGNRSP-MOCD-REWK-0060-G01","Field MainGroup not present in list."
"49","SJSC-GGNRSP-MOCD-REWK-0060-G01","Field MainGroup not present in list."
"50","SJSC-GGNRSP-MOCD-REWK-0061-G00","Field MainGroup not present in list."
"51","SJSC-GGNRSP-MOCD-REWK-0061-G00","Field MainGroup not present in list."
"52","SJSC-GGNRSP-MOCD-REWK-0062-G00","Field MainGroup not present in list."
"53","SJSC-GGNRSP-MOCD-REWK-0062-G00","Field MainGroup not present in list."
"54","SJSC-GGNRSP-MOCD-REWK-0064-G00","Field MainGroup not present in list."
"55","SJSC-GGNRSP-MOCD-REWK-0064-G00","Field MainGroup not present in list."
"56","SJSC-GGNRSP-MOCD-REWK-0065-G00","Field MainGroup not present in list."
"57","SJSC-GGNRSP-MOCD-REWK-0065-G00","Field MainGroup not present in list."
"58","SJSC-GGNRSP-MOCD-REWK-0066-G00","Field MainGroup not present in list."
"59","SJSC-GGNRSP-MOCD-REWK-0066-G00","Field MainGroup not present in list."
"60","SJSC-GGNRSP-MOCD-REWK-0067-G00","Field MainGroup not present in list."
"61","SJSC-GGNRSP-MOCD-REWK-0067-G00","Field MainGroup not present in list."
"62","SJSC-GGNRSP-MOCD-REWK-0068-G00","Field MainGroup not present in list."
"63","SJSC-GGNRSP-MOCD-REWK-0069-G00","Field MainGroup not present in list."
"64","SJSC-GGNRSP-MOCD-REWK-0069-G00","Field MainGroup not present in list."
"65","SJSC-GGNRSP-MOCD-REWK-0070-G00","Field MainGroup not present in list."
"66","SJSC-GGNRSP-MOCD-REWK-0070-G00","Field MainGroup not present in list."
"67","SJSC-GGNRSP-MOCD-REWK-0071-G00","Field MainGroup not present in list."
"68","SJSC-GGNRSP-MOCD-REWK-0071-G00","Field MainGroup not present in list."
"69","SJSC-GGNRSP-MOCD-REWK-0072-G00","Field MainGroup not present in list."
"70","SJSC-GGNRSP-MOCD-REWK-0072-G00","Field MainGroup not present in list."
"71","SJSC-GGNRSP-MOCD-REWK-0073-G00","Field MainGroup not present in list."
"72","SJSC-GGNRSP-MOCD-REWK-0073-G00","Field MainGroup not present in list."
"73","SJSC-GGNRSP-MOCD-REWK-0074-G00","Field MainGroup not present in list."
"74","SJSC-GGNRSP-MOCD-REWK-0074-G00","Field MainGroup not present in list."
"75","SJSC-GGNRSP-MOCD-REWK-0075-G00","Field MainGroup not present in list."
"76","SJSC-GGNRSP-MOCD-REWK-0075-G00","Field MainGroup not present in list."
"77","SJSC-GGNRSP-MOCD-REWK-0076-G00","Field MainGroup not present in list."
"78","SJSC-GGNRSP-MOCD-REWK-0076-G00","Field MainGroup not present in list."
"79","SJSC-GGNRSP-MOCD-REWK-0077-G00","Field MainGroup not present in list."
"80","SJSC-GGNRSP-MOCD-REWK-0077-G00","Field MainGroup not present in list."
"81","SJSC-GGNRSP-MOCD-REWK-0078-G00","Field MainGroup not present in list."
"82","SJSC-GGNRSP-MOCD-REWK-0078-G00","Field MainGroup not present in list."
