Item No.,Client Item No.,Product Name,Type of Product,Stock Qnty,Class,End Connection,Material,Trim Material,Spare Parts,DWG Status,Qty (PCS)
16,47,Ball Valve,Trunnion Side Entry-2 PCS,2,900,Flanged RTJ,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved,78
17,52,Ball Valve,Trunnion Side Entry-2 PCS,3,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved,44
18,53,Ball Valve,Trunnion Side Entry-2 PCS,3,150,Flanged RF,A105 N,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved,13
19,51,Ball Valve,Trunnion Side Entry-2 PCS,2-1.5,API 10000,Flanged RTJ,API AA-6dK,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved,123
20,55,Ball Valve,Trunnion Side Entry-2 PCS,2-1.5,API 10000,Flanged RTJ,API AA-6dK,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved,28
21,56,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,4
22,57,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,4
23,58,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,30
24,59,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,20
25,60,Ball Valve,Floating Side Entry-2 PCS,4,150,Flanged RF,A105N OR A216WCB,***,"1-set of gland packing and Body Gasket 10%; 2-set of changeable inner parts including seat ring, stem and Body seal 2 for each type, size and material",Approved with comment,6
